leg_black,treat_out,responded,totalpop,medianhhincom,black_medianhh,white_medianhh,blackpercent,statessquireindex,nonblacknonwhite,urbanpercent,leg_senator,leg_democrat,south
0,0,0,1.5873,5.0625,2.6814,2.6586,.0071190069,.227,0,.69560152,0,0,0
0,0,1,1.6218,4.9713,2.7126,2.6619,.0057960288,.227,0,.61807317,0,0,0
0,0,1,1.671,6.9646,2.3087,2.9973,.012028725,.227,0,.82433146,0,0,0
0,0,1,1.6122,4.1811,2.4668,2.4887,.0042798659,.227,1,0,0,0,0
0,1,1,1.5622,3.1152,2.149,2.0597,.0082575846,.227,1,0,0,1,0
0,1,0,1.6236,6.0678,1.9856,2.7017,.011825573,.227,0,.35832295,0,0,0
0,1,1,1.6426,5.503,2.409,2.7584,.027030317,.227,0,.38221532,0,1,0
0,0,0,1.6872,4.2315,1.7252,2.406,.097735904,.227,1,.99770617,0,1,0
0,0,1,3.2091,5.0087,2.6918,2.6602,.0064504077,.227,0,.6573261,1,0,0
0,1,0,3.1744,3.6754,2.202,2.3071,.0062373988,.227,1,0,1,1,0
0,0,1,3.2662,5.8125,2.2989,2.7298,.019472169,.227,0,.37083241,1,1,0
0,1,0,3.3567,4.0456,1.5235,2.2835,.11290851,.227,0,.95443571,1,1,0
0,1,0,3.407,5.5846,3.2087,2.3325,.011447021,.227,0,.62120163,1,0,0
0,0,1,3.3792,4.9515,1.761,2.2931,.008463542,.227,0,.12244777,1,0,0
0,1,0,3.293,5.41,1.4079,2.2818,.08050409,.227,0,.98836166,1,0,0
0,0,1,3.466,4.2901,1.6628,2.3829,.12412002,.227,0,1,1,1,0
0,1,0,3.3844,4.8244,2.0547,3.1062,.037140999,.227,0,1,1,1,0
0,1,0,3.2244,8.455500000000001,2.3908,3.6114,.014049125,.227,0,.69135386,1,0,0
0,1,1,3.4233,4.7626,1.4066,2.209,.0057254704,.227,0,.2106583,1,0,0
0,0,1,3.2932,4.8314,1.2305,2.4215,.0094133373,.227,0,.25991404,1,0,0
0,0,1,3.1357,4.3254,2.2469,3.2214,.011512581,.227,1,.19185947,1,1,0
0,0,1,3.1519,4.4779,3.7186,3.8874,.0060598375,.227,1,.34750497,1,1,0
0,1,1,1.6695,3.8003,1.3633,2.159,.12824199,.227,0,.90296727,0,0,0
0,1,1,1.6683,5.7851,1.7406,2.2496,.033447221,.227,0,.62307692,0,0,0
0,0,0,1.6968,4.3898,1.2146,1.9398,.040900517,.227,0,.2055421,0,0,0
0,0,1,1.7041,5.6871,1.9843,2.351,.013203451,.227,0,.46939132,0,0,0
0,0,1,1.7029,5.4751,4.7034,2.3141,.0096893534,.227,0,.77082616,0,0,0
0,1,0,1.6929,4.0152,.7654,2.03,.0065567959,.227,0,.0080593461,0,0,0
0,0,0,1.6863,6.1111,2.3621,2.5495,.010377751,.227,0,.33310845,0,0,0
0,1,1,1.6442,6.9792,2.2971,2.7703,.025848437,.227,0,.99258161,0,0,0
0,1,0,1.7078,4.9759,2.1959,2.5696,.10943905,.227,0,1,0,1,0
0,1,1,1.7065,4.0061,2.0331,2.6596,.042133022,.227,0,1,0,1,0
0,1,1,1.5833,8.450200000000001,2.2822,3.7382,.012568686,.227,0,.42711759,0,0,0
0,1,0,1.7266,4.8717,.9823,2.285,.0066604889,.227,0,.45995894,0,0,0
0,0,1,1.6967,4.6615,2.0187,2.1365,.004773973,.227,0,0,0,0,0
0,0,1,1.7172,4.5087,.6861,2.2073,.0093757277,.227,0,0,0,0,0
0,0,1,1.576,5.3071,1.6831,2.7795,.0094543146,.227,0,.62839425,0,0,0
0,0,1,1.5862,5.0327,2.6942,3.1168,.016139202,.227,1,.086479552,0,1,0
0,1,0,1.5495,3.6341,1.6305,3.4895,.006776379,.227,0,.35089225,0,1,0
0,0,1,1.5952,5.3477,3.8823,4.1449,.0077106319,.227,1,.47610015,0,1,0
0,1,0,4.4706,3.0609,1.1799,2.1431,.17456268,.071000002,0,.90790033,0,1,1
0,1,0,13.1076,3.2937,1.2281,1.9522,.13093168,.071000002,0,.56668013,1,1,1
0,1,0,4.3987,3.6223,1.3431,1.7931,.022529386,.071000002,0,.058811273,0,1,1
0,1,0,13.5065,4.3697,1.571,2.214,.17144337,.071000002,0,.53246087,1,1,1
