gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,38,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,42,Single,No Qualification,British,White,"Under 2,600",The North,Yes,12,12,Packets
Male,40,Married,Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
Female,40,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,39,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
Male,53,Married,Degree,British,White,"Above 36,400",The North,Yes,6,6,Packets
Male,44,Single,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,40,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,8,8,Hand-Rolled
Female,41,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15,12,Packets
Male,72,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,49,Married,No Qualification,British,White,Refused,The North,No,NA,NA,
Male,29,Married,Degree,English,White,"Above 36,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,25,Single,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,27,Single,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,30,Single,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Male,47,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,69,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
Male,55,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,NA,NA,
Female,34,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,Yes,6,12,Packets
Female,36,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,5,2,Packets
Female,56,Married,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20,20,Packets
Male,71,Divorced,No Qualification,English,White,Unknown,The North,No,NA,NA,
Female,38,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,79,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,58,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,25,20,Packets
Female,69,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
Male,83,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,73,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,42,Married,GCSE/O Level,British,White,Refused,The North,Yes,40,15,Packets
Female,31,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15,15,Both/Mainly Packets
Male,26,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,27,Separated,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,57,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,30,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,22,Single,A Levels,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,78,Widowed,No Qualification,English,White,"Under 2,600",The North,Yes,20,20,Packets
Female,49,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,No,NA,NA,
Male,74,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,85,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,No,NA,NA,
Male,75,Married,Other/Sub Degree,English,White,Refused,The North,No,NA,NA,
Female,80,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,37,Married,Degree,British,White,"Under 2,600",The North,No,NA,NA,
Female,33,Single,Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,41,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,81,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,76,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,Yes,6,6,Packets
Female,58,Married,A Levels,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,59,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25,25,Packets
Female,40,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,4,4,Packets
Female,54,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,49,Married,Degree,Scottish,White,"Above 36,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,28,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,Yes,20,20,Packets
Male,44,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,42,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,36,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,NA,NA,
Male,89,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,64,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,61,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,81,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,20,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,10,Packets
Female,82,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,23,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,20,10,Packets
Male,41,Married,GCSE/O Level,English,White,"Above 36,400",The North,No,NA,NA,
Female,31,Single,A Levels,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,44,Married,A Levels,English,White,"20,800 to 28,600",The North,Yes,5,0,Packets
Female,42,Married,Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
Male,67,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20,20,Packets
Male,53,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Male,76,Married,No Qualification,English,Black,"10,400 to 15,600",The North,No,NA,NA,
Male,40,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,30,30,Hand-Rolled
Male,44,Married,A Levels,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,31,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,Yes,20,20,Packets
Male,43,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,20,20,Hand-Rolled
Female,36,Separated,A Levels,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,34,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,18,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,10,3,Packets
Male,56,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,73,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
Female,22,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,20,20,Packets
Female,33,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,27,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,Yes,10,0,Packets
Female,33,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,63,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,64,Married,A Levels,British,White,"2,600 to 5,200",The North,No,NA,NA,
Male,54,Married,Degree,British,White,"Above 36,400",The North,No,NA,NA,
Female,34,Married,Degree,English,White,"Under 2,600",The North,No,NA,NA,
Male,78,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,54,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
Male,56,Separated,GCSE/CSE,English,White,"28,600 to 36,400",The North,No,NA,NA,
Male,78,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,37,Married,A Levels,British,White,"5,200 to 10,400",The North,No,NA,NA,
Male,54,Married,Degree,British,White,"28,600 to 36,400",The North,No,NA,NA,
Female,40,Married,GCSE/O Level,British,White,"20,800 to 28,600",The North,Yes,15,15,Hand-Rolled
Female,64,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,42,Married,GCSE/O Level,Other,White,"5,200 to 10,400",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,64,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,50,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,31,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,37,Married,Degree,English,White,"Above 36,400",The North,No,NA,NA,
Male,81,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,57,Separated,No Qualification,Welsh,White,"5,200 to 10,400",The North,Yes,10,10,Hand-Rolled
Female,59,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
Male,66,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Male,57,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,NA,NA,
Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,49,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Female,62,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,17,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,36,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,31,Single,No Qualification,English,White,Refused,The North,Yes,7,7,Packets
Female,61,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25,25,Packets
Male,71,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,Yes,40,40,Packets
Female,75,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,12,12,Packets
Female,43,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,No,NA,NA,
Female,68,Widowed,No Qualification,English,White,Refused,The North,No,NA,NA,
Female,65,Widowed,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,85,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,35,Separated,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,20,20,Both/Mainly Hand-Rolled
Female,52,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,28,Single,ONC/BTEC,English,White,"5,200 to 10,400",The North,Yes,15,15,Packets
Male,52,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,NA,NA,
