choice,id,pf1,pf2,pf3,pf4,cl1,cl2,cl3,cl4,loc1,loc2,loc3,loc4,wk1,wk2,wk3,wk4,tod1,tod2,tod3,tod4,seas1,seas2,seas3,seas4
4,1,7,9,0,0,5,1,0,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3,1,7,9,0,0,0,5,1,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
4,1,9,7,0,0,5,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
4,1,0,9,7,0,1,1,0,5,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
1,1,0,9,0,7,0,1,0,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
4,1,0,9,0,7,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,9,0,7,5,0,1,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
3,1,9,7,0,0,0,1,1,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,9,7,5,5,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2,1,0,0,7,9,1,5,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
3,1,9,0,0,7,5,0,5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
4,1,0,7,9,0,1,5,5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
4,2,0,7,0,9,0,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
4,2,7,0,0,9,5,1,0,5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
3,2,9,0,7,0,1,1,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
3,2,7,9,0,0,5,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
1,2,7,9,0,0,5,1,0,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,2,7,9,0,0,0,5,1,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
2,2,9,7,0,0,5,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
3,2,0,9,7,0,1,1,0,5,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,2,0,9,0,7,0,1,0,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
4,2,0,9,0,7,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
4,2,0,9,0,7,5,0,1,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2,2,9,7,0,0,0,1,1,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2,3,0,7,9,0,0,1,5,5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
3,3,9,0,7,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
1,3,7,0,0,9,0,0,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
4,3,7,0,0,9,5,1,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,3,0,0,9,7,0,1,0,5,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
4,3,0,0,9,7,5,1,5,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
4,3,9,0,0,7,5,0,5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
1,3,9,7,0,0,1,0,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2,3,0,9,0,0,0,1,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
3,3,9,0,7,0,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,3,7,0,0,9,1,0,5,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
3,3,0,0,7,9,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,4,9,0,0,7,0,0,1,5,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
3,4,0,7,0,9,0,5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,4,0,9,0,7,1,5,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3,4,9,7,0,0,0,5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4,4,0,7,9,0,0,1,5,5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
4,4,9,0,7,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
1,4,7,0,0,9,0,0,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
4,4,7,0,0,9,5,1,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,4,0,0,9,7,0,1,0,5,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
4,4,0,0,9,7,5,1,5,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
4,4,9,0,0,7,5,0,5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
2,4,9,7,0,0,1,0,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1,5,7,9,0,0,5,1,0,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,5,7,9,0,0,0,5,1,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
2,5,9,7,0,0,5,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
3,5,0,9,7,0,1,1,0,5,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,5,0,9,0,7,0,1,0,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
4,5,0,9,0,7,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
4,5,0,9,0,7,5,0,1,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2,5,9,7,0,0,0,1,1,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
4,5,0,0,9,7,5,5,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
3,5,0,0,7,9,1,5,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
4,5,9,0,0,7,5,0,5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
2,5,0,7,9,0,1,5,5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
