date,opponent,game_type,time,period,etype,team,player,result,points,type,x,y
20081028,POR,home,12:00,1,jump ball,OFF,,,0,,NA,NA
20081028,POR,home,11:39,1,shot,LAL,Pau Gasol,missed,0,hook,23,13
20081028,POR,home,11:37,1,rebound,LAL,Vladimir Radmanovic,,0,off,NA,NA
20081028,POR,home,11:25,1,shot,LAL,Derek Fisher,missed,0,layup,25,6
20081028,POR,home,11:23,1,rebound,LAL,Pau Gasol,,0,off,NA,NA
20081028,POR,home,11:22,1,shot,LAL,Pau Gasol,made,2,hook,25,10
20081028,POR,home,11:22,1,foul,POR,Greg Oden,,0,shooting,NA,NA
20081028,POR,home,11:22,1,free throw,LAL,Pau Gasol,made,1,,NA,NA
20081028,POR,home,11:00,1,foul,LAL,Vladimir Radmanovic,,0,personal,NA,NA
20081028,POR,home,10:53,1,shot,POR,LaMarcus Aldridge,made,2,jump,36,21
20081028,POR,home,10:45,1,shot,LAL,Derek Fisher,made,2,pullup jump,30,21
20081028,POR,home,10:32,1,shot,POR,LaMarcus Aldridge,missed,0,jump,34,10
20081028,POR,home,10:31,1,rebound,LAL,Kobe Bryant,,0,def,NA,NA
20081028,POR,home,10:21,1,shot,LAL,Pau Gasol,made,2,jump,15,17
20081028,POR,home,10:04,1,shot,POR,Travis Outlaw,made,2,jump,46,9
20081028,POR,home,09:50,1,shot,LAL,Andrew Bynum,missed,0,jump,21,10
20081028,POR,home,09:48,1,rebound,LAL,Kobe Bryant,,0,off,NA,NA
20081028,POR,home,09:41,1,shot,LAL,Pau Gasol,made,2,jump,39,9
20081028,POR,home,09:24,1,shot,POR,Brandon Roy,missed,0,driving layup,25,6
20081028,POR,home,09:21,1,rebound,POR,Greg Oden,,0,off,NA,NA
20081028,POR,home,09:20,1,shot,POR,Greg Oden,missed,0,layup,25,6
20081028,POR,home,09:20,1,rebound,POR,Greg Oden,,0,off,NA,NA
20081028,POR,home,09:20,1,foul,LAL,Andrew Bynum,,0,personal,NA,NA
20081028,POR,home,09:11,1,shot,POR,Greg Oden,missed,0,jump,20,9
20081028,POR,home,09:09,1,rebound,LAL,Vladimir Radmanovic,,0,def,NA,NA
20081028,POR,home,09:04,1,foul,POR,Steve Blake,,0,personal,NA,NA
20081028,POR,home,08:51,1,shot,LAL,Andrew Bynum,missed,0,jump,26,12
20081028,POR,home,08:50,1,rebound,POR,Travis Outlaw,,0,def,NA,NA
20081028,POR,home,08:39,1,shot,POR,Brandon Roy,missed,0,jump,36,18
20081028,POR,home,08:38,1,rebound,LAL,Andrew Bynum,,0,def,NA,NA
20081028,POR,home,08:15,1,turnover,LAL,Kobe Bryant,,0,,NA,NA
20081028,POR,home,08:08,1,shot,POR,Brandon Roy,missed,0,layup,25,6
20081028,POR,home,08:07,1,rebound,LAL,Derek Fisher,,0,def,NA,NA
20081028,POR,home,08:00,1,shot,LAL,Derek Fisher,made,2,driving finger roll layup,25,6
20081028,POR,home,07:49,1,timeout,POR,,,0,regular,NA,NA
20081028,POR,home,07:31,1,shot,POR,Greg Oden,missed,0,jump,30,15
20081028,POR,home,07:30,1,rebound,POR,LaMarcus Aldridge,,0,off,NA,NA
20081028,POR,home,07:24,1,foul,POR,Greg Oden,,0,offensive,NA,NA
20081028,POR,home,07:24,1,turnover,POR,Greg Oden,,0,,NA,NA
20081028,POR,home,07:24,1,sub,POR,,,0,,NA,NA
20081028,POR,home,07:07,1,shot,LAL,Pau Gasol,made,2,layup,25,6
20081028,POR,home,06:53,1,turnover,POR,Steve Blake,,0,,NA,NA
20081028,POR,home,06:40,1,shot,LAL,Derek Fisher,missed,0,jump,15,23
20081028,POR,home,06:39,1,rebound,POR,,,0,,NA,NA
20081028,POR,home,06:21,1,shot,POR,Travis Outlaw,missed,0,jump,17,23
20081028,POR,home,06:20,1,rebound,LAL,Pau Gasol,,0,def,NA,NA
20081028,POR,home,06:05,1,shot,LAL,Kobe Bryant,missed,0,jump,8,8
20081028,POR,home,06:04,1,rebound,POR,Joel Przybilla,,0,def,NA,NA
20081028,POR,home,05:53,1,shot,POR,LaMarcus Aldridge,missed,0,jump,31,10
20081028,POR,home,05:52,1,rebound,POR,,,0,,NA,NA
20081028,POR,home,05:50,1,sub,LAL,,,0,,NA,NA
20081028,POR,home,05:50,1,sub,POR,,,0,,NA,NA
20081028,POR,home,05:40,1,turnover,POR,Brandon Roy,,0,,NA,NA
20081028,POR,home,05:24,1,shot,LAL,Derek Fisher,missed,0,driving layup,25,6
20081028,POR,home,05:22,1,rebound,POR,Brandon Roy,,0,def,NA,NA
20081028,POR,home,05:13,1,shot,POR,Steve Blake,missed,0,3pt,47,6
20081028,POR,home,05:12,1,rebound,LAL,Kobe Bryant,,0,def,NA,NA
20081028,POR,home,05:04,1,shot,LAL,Kobe Bryant,made,2,driving layup,25,6
20081028,POR,home,04:46,1,shot,POR,Brandon Roy,missed,0,jump,14,15
20081028,POR,home,04:44,1,rebound,LAL,Lamar Odom,,0,def,NA,NA
20081028,POR,home,04:40,1,shot,LAL,Kobe Bryant,missed,0,layup,25,6
20081028,POR,home,04:38,1,rebound,POR,LaMarcus Aldridge,,0,def,NA,NA
20081028,POR,home,04:37,1,foul,LAL,Kobe Bryant,,0,personal,NA,NA
20081028,POR,home,04:14,1,shot,POR,LaMarcus Aldridge,made,2,turnaround jump,29,17
20081028,POR,home,04:06,1,shot,LAL,Vladimir Radmanovic,missed,0,3pt,1,6
20081028,POR,home,04:05,1,shot,LAL,Andrew Bynum,made,2,putback layup,25,6
20081028,POR,home,04:05,1,rebound,LAL,Andrew Bynum,,0,off,NA,NA
20081028,POR,home,03:48,1,shot,POR,Rudy Fernandez,missed,0,3pt,38,28
20081028,POR,home,03:47,1,rebound,LAL,,,0,,NA,NA
20081028,POR,home,03:46,1,sub,POR,,,0,,NA,NA
20081028,POR,home,03:34,1,shot,LAL,Lamar Odom,missed,0,3pt,41,26
20081028,POR,home,03:32,1,rebound,POR,Brandon Roy,,0,def,NA,NA
20081028,POR,home,03:24,1,shot,POR,Steve Blake,missed,0,3pt,44,24
20081028,POR,home,03:23,1,rebound,LAL,Vladimir Radmanovic,,0,def,NA,NA
20081028,POR,home,03:21,1,turnover,LAL,Vladimir Radmanovic,,0,,NA,NA
20081028,POR,home,03:09,1,shot,POR,Brandon Roy,missed,0,jump,43,17
20081028,POR,home,03:08,1,rebound,LAL,Lamar Odom,,0,def,NA,NA
20081028,POR,home,03:03,1,shot,LAL,Andrew Bynum,missed,0,slam dunk,25,6
20081028,POR,home,03:00,1,rebound,LAL,Derek Fisher,,0,off,NA,NA
20081028,POR,home,02:52,1,turnover,LAL,Lamar Odom,,0,,NA,NA
20081028,POR,home,02:52,1,timeout,LAL,,,0,regular,NA,NA
20081028,POR,home,02:52,1,sub,LAL,,,0,,NA,NA
20081028,POR,home,02:52,1,sub,LAL,,,0,,NA,NA
20081028,POR,home,02:52,1,sub,LAL,,,0,,NA,NA
20081028,POR,home,02:32,1,shot,POR,Brandon Roy,missed,0,layup,25,6
20081028,POR,home,02:32,1,shot,POR,Joel Przybilla,made,2,tip,25,6
20081028,POR,home,02:32,1,rebound,POR,Joel Przybilla,,0,off,NA,NA
20081028,POR,home,02:32,1,foul,LAL,Pau Gasol,,0,shooting,NA,NA
20081028,POR,home,02:32,1,free throw,POR,Joel Przybilla,missed,0,,NA,NA
20081028,POR,home,02:31,1,rebound,LAL,Trevor Ariza,,0,def,NA,NA
20081028,POR,home,02:11,1,shot,LAL,Trevor Ariza,made,2,dunk,25,6
20081028,POR,home,01:49,1,shot,POR,Rudy Fernandez,made,2,layup,25,6
20081028,POR,home,01:31,1,shot,LAL,Trevor Ariza,made,3,3pt,46,17
20081028,POR,home,01:18,1,shot,POR,Rudy Fernandez,made,2,jump,31,22
20081028,POR,home,01:12,1,turnover,LAL,Jordan Farmar,,0,,NA,NA
20081028,POR,home,01:12,1,sub,POR,,,0,,NA,NA
20081028,POR,home,01:12,1,sub,POR,,,0,,NA,NA
20081028,POR,home,00:59,1,shot,POR,Rudy Fernandez,missed,0,jump,38,13
20081028,POR,home,00:58,1,rebound,LAL,Kobe Bryant,,0,def,NA,NA
20081028,POR,home,00:48,1,shot,LAL,Lamar Odom,missed,0,jump,14,23
20081028,POR,home,00:47,1,rebound,POR,Joel Przybilla,,0,def,NA,NA
20081028,POR,home,00:35,1,shot,POR,Channing Frye,missed,0,3pt,26,32
20081028,POR,home,00:33,1,rebound,LAL,Jordan Farmar,,0,def,NA,NA
20081028,POR,home,00:29,1,foul,POR,Sergio Rodriguez,,0,shooting,NA,NA
20081028,POR,home,00:29,1,sub,LAL,,,0,,NA,NA
20081028,POR,home,00:29,1,free throw,LAL,Jordan Farmar,made,1,,NA,NA
20081028,POR,home,00:29,1,free throw,LAL,Jordan Farmar,made,1,,NA,NA
20081028,POR,home,00:12,1,shot,POR,Joel Przybilla,made,2,slam dunk,25,6
20081028,POR,home,00:00,1,shot,LAL,Sasha Vujacic,missed,0,3pt,37,30
20081028,POR,home,00:00,1,rebound,LAL,,,0,,NA,NA
20081028,POR,home,11:37,2,shot,POR,Joel Przybilla,missed,0,layup,25,6
20081028,POR,home,11:36,2,rebound,POR,Channing Frye,,0,off,NA,NA
20081028,POR,home,11:35,2,shot,POR,Channing Frye,missed,0,layup,25,6
20081028,POR,home,11:35,2,rebound,POR,,,0,,NA,NA
20081028,POR,home,11:23,2,shot,POR,Sergio Rodriguez,missed,0,3pt,43,25
20081028,POR,home,11:22,2,rebound,LAL,Lamar Odom,,0,def,NA,NA
20081028,POR,home,11:15,2,shot,LAL,Lamar Odom,made,2,layup,25,6
20081028,POR,home,11:15,2,violation,POR,Joel Przybilla,,0,defensive goaltending,NA,NA
20081028,POR,home,11:15,2,foul,POR,Channing Frye,,0,shooting,NA,NA
20081028,POR,home,11:15,2,free throw,LAL,Lamar Odom,missed,0,,NA,NA
20081028,POR,home,11:12,2,rebound,POR,Joel Przybilla,,0,def,NA,NA
