DATE,FDEFX
1947-01-01,22.79
1947-04-01,21.105
1947-07-01,19.985
1947-10-01,20.41
1948-01-01,20.685
1948-04-01,20.555
1948-07-01,20.716
1948-10-01,21.593
1949-01-01,22.461
1949-04-01,22.753
1949-07-01,22.546
1949-10-01,21.602
1950-01-01,20.89
1950-04-01,20.95
1950-07-01,22.696
1950-10-01,26.061
1951-01-01,33.539
1951-04-01,40.264
1951-07-01,48.081
1951-10-01,52.874
1952-01-01,53.49
1952-04-01,56.979
1952-07-01,58.675
1952-10-01,60.506
1953-01-01,61.306
1953-04-01,61.975
1953-07-01,60.964
1953-10-01,60.29
1954-01-01,57.326
1954-04-01,55.214
1954-07-01,53.215
1954-10-01,52.038
1955-01-01,52.356
1955-04-01,51.867
1955-07-01,53.076
1955-10-01,52.152
1956-01-01,52.758
1956-04-01,54.943
1956-07-01,55.09
1956-10-01,57.042
1957-01-01,58.831
1957-04-01,59.639
1957-07-01,60.667
1957-10-01,60.626
1958-01-01,60.841
1958-04-01,61.977
1958-07-01,62.633
1958-10-01,63.429
1959-01-01,61.137
1959-04-01,60.29
1959-07-01,61.398
1959-10-01,60.956
1960-01-01,60.024
1960-04-01,59.522
1960-07-01,61.963
1960-10-01,62.094
1961-01-01,63.393
1961-04-01,63.357
1961-07-01,64.961
1961-10-01,66.462
1962-01-01,69.164
1962-04-01,68.916
1962-07-01,70.445
1962-10-01,70.278
1963-01-01,69.388
1963-04-01,68.896
1963-07-01,70.846
1963-10-01,70.88
1964-01-01,70.383
1964-04-01,69.375
1964-07-01,70.153
1964-10-01,69.002
1965-01-01,68.031
1965-04-01,68.163
1965-07-01,71.157
1965-10-01,74.979
1966-01-01,77.48
1966-04-01,79.135
1966-07-01,85.613
1966-10-01,87.657
1967-01-01,92.232
1967-04-01,93.499
1967-07-01,96.659
1967-10-01,97.745
1968-01-01,100.462
1968-04-01,101.515
1968-07-01,101.469
1968-10-01,101.98
1969-01-01,101.262
1969-04-01,100.86
1969-07-01,103.448
1969-10-01,102.7
1970-01-01,102.837
1970-04-01,99.604
1970-07-01,99.914
1970-10-01,100.486
1971-01-01,99.478
1971-04-01,97.839
1971-07-01,97.432
1971-10-01,97.231
1972-01-01,101.361
1972-04-01,103.31
1972-07-01,97.727
1972-10-01,100.456
1973-01-01,103.436
1973-04-01,103.355
1973-07-01,100.495
1973-10-01,103.255
1974-01-01,106.194
1974-04-01,108.827
1974-07-01,110.321
1974-10-01,114.235
1975-01-01,115.068
1975-04-01,114.248
1975-07-01,119.996
1975-10-01,122.592
1976-01-01,122.92
1976-04-01,123.427
1976-07-01,125.164
